Date,Open,High,Low,Close,Adj Close,Volume,ChangeStock,wtAVG
2019-04-08,11704.34961,11710.29981,11549.09961,11604.5,11604.5,260900,-99.84961,0.500091482
2019-04-09,11612.04981,11683.90039,11569.7002,11671.9502,11671.9502,300500,59.90039,0.5003831
2019-04-10,11646.84961,11680.04981,11571.75,11584.29981,11584.29981,359900,-62.5498,0.499939993
2019-04-11,11592.54981,11606.7002,11550.54981,11596.7002,11596.7002,279800,4.15039,0.495290626
2019-04-12,11612.84961,11657.34961,11578.79981,11643.4502,11643.4502,246000,30.60059,0.50287576
2019-04-15,11667,11704.59961,11648.25,11690.34961,11690.34961,290000,23.34961,0.502631917
2019-04-16,11736.2002,11810.9502,11731.54981,11787.15039,11787.15039,354300,50.95019,0.501399005
2019-04-18,11856.15039,11856.15039,11738.5,11752.79981,11752.79981,339700,-103.35058,0.496726025
2019-04-22,11727.04981,11727.04981,11583.9502,11594.4502,11594.4502,260400,-132.59961,0.495817944
2019-04-23,11612.9502,11645.9502,11564.79981,11575.9502,11575.9502,272500,-37,0.495452042
2019-04-24,11601.5,11740.84961,11578.84961,11726.15039,11726.15039,335200,124.65039,0.494961888
2019-04-25,11735.7002,11796.75,11624.29981,11641.79981,11641.79981,604400,-93.90039,0.494361885
2019-04-26,11683.75,11762.90039,11661.75,11754.65039,11754.65039,333500,70.90039,0.497135272
2019-04-30,11748.75,11756.25,11655.90039,11748.15039,11748.15039,532600,-0.59961,0.495846222
2019-05-02,11725.54981,11789.29981,11699.54981,11724.75,11724.75,380300,-0.79981,0.496495504
2019-05-03,11722.59961,11770.90039,11699.34961,11712.25,11712.25,305500,-10.34961,0.511779502
2019-05-06,11605.79981,11632.54981,11571.34961,11598.25,11598.25,299000,-7.54981,0.51129698
2019-05-07,11651.5,11657.04981,11484.4502,11497.90039,11497.90039,337500,-153.59961,0.511884447
2019-05-08,11478.7002,11479.09961,11346.9502,11359.4502,11359.4502,372800,-119.25,0.510776562
2019-05-09,11322.40039,11357.59961,11255.04981,11301.79981,11301.79981,373000,-20.60058,0.510124986
2019-05-10,11314.15039,11345.79981,11251.04981,11278.90039,11278.90039,387300,-35.25,0.509101227
2019-05-13,11258.7002,11300.2002,11125.59961,11148.2002,11148.2002,357600,-110.5,0.508803658
2019-05-14,11151.65039,11294.75,11108.29981,11222.04981,11222.04981,398100,70.39942,0.507426569
2019-05-15,11271.7002,11286.79981,11136.9502,11157,11157,414200,-114.7002,0.506533256
2019-05-16,11180.34961,11281.54981,11143.34961,11257.09961,11257.09961,350700,76.75,0.505980444
2019-05-17,11261.90039,11426.15039,11259.84961,11407.15039,11407.15039,412100,145.25,0.509313543
2019-05-20,11651.90039,11845.2002,11591.7002,11828.25,11828.25,452100,176.34961,0.508904343
2019-05-21,11863.65039,11883.54981,11682.79981,11709.09961,11709.09961,381000,-154.55078,0.505887249
2019-05-22,11727.9502,11784.79981,11682.40039,11737.90039,11737.90039,355900,9.95019,0.506098479
2019-05-23,11901.29981,12041.15039,11614.5,11657.04981,11657.04981,569000,-244.25,0.502435614
2019-05-24,11748,11859,11658.09961,11844.09961,11844.09961,374600,96.09961,0.50735464
2019-05-27,11855.5,11957.15039,11812.40039,11924.75,11924.75,348400,69.25,0.504978192
2019-05-28,11958.34961,11958.54981,11864.90039,11928.75,11928.75,598300,-29.59961,0.502745536
2019-05-29,11905.79981,11931.90039,11836.79981,11861.09961,11861.09961,318100,-44.7002,0.499768089
